n_rows,n_ticker_days,rmse,mae,direction_acc,mean_pnl_bp,daily_sharpe,model,ticker
1107,554,0.010925312584737714,0.007223005856248422,0.48509485094850946,-1.9066519370042199,-0.4456129311916217,ram_fingan_v2,AMZN
1107,554,0.02631602824782963,0.016081164843577748,0.5284552845528455,11.56989108637882,1.082834799966473,ram_fingan_v2,APA
1107,554,0.00997140815226494,0.006406718422686546,0.5058717253839206,0.25783901658218705,0.0553677634485939,naive_ram_lstm,BLK
1107,554,0.006718403690618942,0.004288240381813311,0.5501355013550135,6.470309035715733,2.401111845796219,ram_fingan_v3,CL
1107,554,0.009586222513076293,0.004951720930556877,0.5401987353206865,5.790109278612226,1.3461839177069816,baseline_lstm_xonly,DTE
1107,554,0.013570038471784911,0.00944233768215676,0.5275519421860885,3.7435448714539765,1.3308152747203126,ram_fingan_v1,ECL
1107,554,0.01185205482758381,0.007509622541963757,0.5176151761517616,5.088076394621487,0.9400435309014757,regime_factor_lstm,EL
1107,554,0.013260551407324787,0.007882031340810456,0.4968383017163505,6.213174153194603,1.1030587848704094,regime_factor_lstm,FDX
1107,554,0.011949862773159733,0.00871542752637621,0.5266485998193315,2.5414972305792833,1.5779671013150882,ram_fingan_v1,GD
1107,554,0.007808715416625092,0.005178911150122709,0.5311653116531165,0.8099383707935444,1.462796910510217,regime_econ_lstm_v4,GS
1107,554,0.01390530152805532,0.010414342372830763,0.4932249322493225,2.2391893417572404,1.0313355072364483,ram_fingan_v1,HD
1107,554,0.011523461925888077,0.007005938355240026,0.5230352303523035,1.5801736265439894,1.365297525133882,regime_econ_lstm_v4,HUM
1107,554,0.017256086006289112,0.012822839327954217,0.5049683830171635,0.4656073621096352,0.13097405374065876,ram_fingan_v1,IBM
1107,554,0.015718090957404087,0.011511181835225747,0.5221318879855466,3.7235228890435605,1.2917920662460587,ram_fingan_v1,IP
1107,554,0.007168123301912782,0.004400890560027485,0.5573622402890696,6.798273884104273,2.505684760646628,regime_factor_lstm,KO
1107,554,0.010853659235632269,0.006705225209898489,0.5049683830171635,2.7560163033808838,0.6030589830860096,naive_ram_lstm,NKE
1107,554,0.020641296480490567,0.012873948106550685,0.5167118337850045,4.247915589295027,0.46882069061697335,baseline_lstm_xonly,OXY
1107,554,0.005789033018936848,0.0038613134632794963,0.5582655826558266,6.888656238624435,3.297790024911003,ram_fingan_v3,PEP
1107,554,0.011373279600591531,0.00728258630967182,0.4932249322493225,1.9960060539620985,1.3580462359396208,regime_econ_lstm_v4,PFE
1107,554,0.014317539523142974,0.009622093746094192,0.5275519421860885,0.2714190522288232,0.04243560684798289,regime_factor_lstm,TER
1107,554,0.007334700624835003,0.004278655133715914,0.5383920505871725,6.780448508373215,1.9969856267757116,baseline_lstm_xonly,WEC
1107,554,0.010624633589694323,0.006735285701440202,0.5194218608852755,2.693267080820483,0.5918839551816407,regime_factor_lstm,WFC
