cost_bp,mean_net_pnl_bp,daily_sharpe_net,mean_turnover,n_ticker_days,model
0,5.756405219071887,0.5507347217579458,1.7207088939940927,12188,regime_factor_lstm
0,4.52565279521056,0.45407595403956286,2.0548933377092222,12188,ram_fingan_v2
0,3.5936893666166934,0.37384682346328,1.782600918936659,12188,ram_fingan_v3
0,3.128487174576671,0.302690820204333,1.8921890383984248,12188,baseline_lstm_xonly
0,0.9021647712887222,0.29094041439223617,0.4356581389352343,12188,regime_econ_lstm_v4
0,1.705728465018176,0.23814723853171138,0.9263275352806039,12188,ram_fingan_v1
0,2.3996083192584505,0.23098469319325135,1.7395799146701674,12188,naive_ram_lstm
1,4.035696325077795,0.38663100010225454,1.7207088939940927,12188,regime_factor_lstm
1,2.470759457501337,0.24820430307389255,2.0548933377092222,12188,ram_fingan_v2
1,1.8110884476800346,0.18869420064445805,1.782600918936659,12188,ram_fingan_v3
1,0.46650663235348777,0.15059988664457347,0.4356581389352343,12188,regime_econ_lstm_v4
1,1.2362981361782455,0.11977102076867675,1.8921890383984248,12188,baseline_lstm_xonly
1,0.779400929737572,0.10891439928284181,0.9263275352806039,12188,ram_fingan_v1
1,0.6600284045882827,0.06361862483158125,1.7395799146701674,12188,naive_ram_lstm
2,2.314987431083702,0.2220633791759568,1.7207088939940927,12188,regime_factor_lstm
2,0.4158661197921153,0.0418248991299502,2.0548933377092222,12188,ram_fingan_v2
2,0.030848493418253378,0.009968581941626448,0.4356581389352343,12188,regime_econ_lstm_v4
2,0.02848752874337534,0.002972449504459171,1.782600918936659,12188,ram_fingan_v3
2,-0.14692660554303144,-0.02054953664500311,0.9263275352806039,12188,ram_fingan_v1
2,-0.6558909022201791,-0.0636188132729952,1.8921890383984248,12188,baseline_lstm_xonly
2,-1.0795515100818847,-0.10418589964584252,1.7395799146701674,12188,naive_ram_lstm
5,-2.8471392508985756,-0.2740076612112111,1.7207088939940927,12188,regime_factor_lstm
5,-2.925909211384843,-0.41022708470048963,0.9263275352806039,12188,ram_fingan_v1
5,-1.2761259233874496,-0.41351722837666155,0.4356581389352343,12188,regime_econ_lstm_v4
5,-5.319315228066602,-0.5572963036118769,1.782600918936659,12188,ram_fingan_v3
5,-5.748813893335552,-0.5799504689495579,2.0548933377092222,12188,ram_fingan_v2
5,-6.298291254092388,-0.609829190158192,1.7395799146701674,12188,naive_ram_lstm
5,-6.332458017415453,-0.6161271517237904,1.8921890383984248,12188,baseline_lstm_xonly
10,-7.557546887787862,-1.0633552056207776,0.9263275352806039,12188,ram_fingan_v1
10,-11.450683720869037,-1.1061115061338802,1.7207088939940927,12188,regime_factor_lstm
10,-3.4544166180636213,-1.1236906389802221,0.4356581389352343,12188,regime_econ_lstm_v4
10,-14.996190827443222,-1.4575168180960911,1.7395799146701674,12188,naive_ram_lstm
10,-14.232319822749897,-1.49947543282618,1.782600918936659,12188,ram_fingan_v3
10,-15.793403209407575,-1.5417947933018061,1.8921890383984248,12188,baseline_lstm_xonly
10,-16.02328058188166,-1.6225013216828854,2.0548933377092222,12188,ram_fingan_v2
