mean_diff_net_pnl_bp,ci95_low,ci95_high,p_value_two_sided,n_aligned,cost_bp,model_a,model_b
2.6279180444952166,0.40649029222345706,4.807751578723555,0.019,12188,0,regime_factor_lstm,baseline_lstm_xonly
3.3567968998134368,0.8549270568891878,6.036563294716539,0.011,12188,0,regime_factor_lstm,naive_ram_lstm
1.2307524238613272,-1.6678960454765617,4.028918523866743,0.398,12188,0,regime_factor_lstm,ram_fingan_v2
2.162715852455194,0.02274335553497904,4.3422379265722375,0.047,12188,0,regime_factor_lstm,ram_fingan_v3
4.854240447783165,2.456120958796953,7.275068263794637,0.0,12188,0,regime_factor_lstm,regime_econ_lstm_v4
2.799398188899549,0.5672382411478301,4.9064114586435394,0.017,12188,1,regime_factor_lstm,baseline_lstm_xonly
3.3756679204895117,0.899463854526549,5.859345755119946,0.005,12188,1,regime_factor_lstm,naive_ram_lstm
1.5649368675764577,-1.2642851991983357,4.240039723061532,0.295,12188,1,regime_factor_lstm,ram_fingan_v2
2.2246078773977604,0.05242814100323593,4.3970513641499505,0.045,12188,1,regime_factor_lstm,ram_fingan_v3
3.569189692724307,1.2439672225342906,5.922179541122816,0.002,12188,1,regime_factor_lstm,regime_econ_lstm_v4
2.970878333303881,0.8078287512513499,5.23794926181138,0.008,12188,2,regime_factor_lstm,baseline_lstm_xonly
3.394538941165587,0.8672338870366012,5.9398220140356,0.009,12188,2,regime_factor_lstm,naive_ram_lstm
1.8991213112915875,-1.0024336582632316,4.680289457680948,0.189,12188,2,regime_factor_lstm,ram_fingan_v2
2.286499902340327,0.2333730697551438,4.514774194906647,0.033,12188,2,regime_factor_lstm,ram_fingan_v3
2.284138937665449,-0.3433943010374701,4.682723336357385,0.08,12188,2,regime_factor_lstm,regime_econ_lstm_v4
3.4853187665168774,1.2872356865564927,5.682555939242982,0.001,12188,5,regime_factor_lstm,baseline_lstm_xonly
3.4511520031938114,0.9297116378526626,5.9859451752385535,0.006,12188,5,regime_factor_lstm,naive_ram_lstm
2.9016746424369764,-0.0972332685892187,5.761598702206083,0.059,12188,5,regime_factor_lstm,ram_fingan_v2
2.472175977168026,0.24645967489997006,4.66629167025885,0.028,12188,5,regime_factor_lstm,ram_fingan_v3
-1.5710133275111255,-3.9586703611747454,0.7003648033642763,0.182,12188,5,regime_factor_lstm,regime_econ_lstm_v4
4.342719488538538,2.079068274780127,6.609448534579573,0.0,12188,10,regime_factor_lstm,baseline_lstm_xonly
3.5455071065741857,0.988092067249327,6.3710085272479295,0.007,12188,10,regime_factor_lstm,naive_ram_lstm
4.572596861012624,1.7969875738158398,7.455118406636751,0.0,12188,10,regime_factor_lstm,ram_fingan_v2
2.7816361018808586,0.5662693855568954,5.032962291493508,0.012,12188,10,regime_factor_lstm,ram_fingan_v3
-7.996267102805418,-10.418388326403372,-5.527830784235672,0.0,12188,10,regime_factor_lstm,regime_econ_lstm_v4
